Sampling strategy,sample_size,Execution time
Weighted Sampling,8233,0.20999503135681152
Weighted Sampling,16466,0.3450455665588379
Weighted Sampling,24699,0.5750012397766113
Weighted Sampling,32932,0.757000207901001
Weighted Sampling,41166,0.8310012817382812
random,8233,0.008997678756713867
random,16466,0.018000364303588867
random,24699,0.020997285842895508
random,32932,0.019000768661499023
random,41166,0.02200007438659668
LHS,8233,0.026005029678344727
LHS,16466,0.054003238677978516
LHS,24699,0.07500052452087402
LHS,32932,0.09399747848510742
LHS,41166,0.08899974822998047
Improved LHS,8233,0.10900115966796875
Improved LHS,16466,0.22403669357299805
Improved LHS,24699,0.2920372486114502
Improved LHS,32932,0.3930025100708008
Improved LHS,41166,0.5161361694335938
Monte Carlo,8233,13.957047462463379
Monte Carlo,16466,26.392999410629272
Monte Carlo,24699,39.050137519836426
Monte Carlo,32932,52.17300057411194
Monte Carlo,41166,64.96302556991577
